"p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8e+07,1,0,0,-0.5,-0.5
1.8e+07,1,12.5,12.5,-0.49,-0.49
1.8e+07,1,25,25,-0.48,-0.48
1.8e+07,1,37.5,37.5,-0.47,-0.47
1.8e+07,1,50,50,-0.46,-0.46
1.8e+07,1,62.5,62.5,-0.45,-0.45
1.8e+07,1,75,75,-0.44,-0.44
1.8e+07,1,87.5,87.5,-0.43,-0.43
1.8e+07,1,100,100,-0.42,-0.42
1.8e+07,1,112.5,112.5,-0.41,-0.41
1.8e+07,1,125,125,-0.4,-0.4
1.8e+07,1,137.5,137.5,-0.39,-0.39
1.8e+07,1,150,150,-0.38,-0.38
1.8e+07,1,162.5,162.5,-0.37,-0.37
1.8e+07,1,175,175,-0.36,-0.36
1.8e+07,1,187.5,187.5,-0.35,-0.35
1.8e+07,1,200,200,-0.34,-0.34
1.8e+07,1,212.5,212.5,-0.33,-0.33
1.8e+07,1,225,225,-0.32,-0.32
1.8e+07,1,237.5,237.5,-0.31,-0.31
1.8e+07,1,250,250,-0.3,-0.3
1.8e+07,1,262.5,262.5,-0.29,-0.29
1.8e+07,1,275,275,-0.28,-0.28
1.8e+07,1,287.5,287.5,-0.27,-0.27
1.8e+07,1,300,300,-0.26,-0.26
1.8e+07,1,312.5,312.5,-0.25,-0.25
1.8e+07,1,325,325,-0.24,-0.24
1.8e+07,1,337.5,337.5,-0.23,-0.23
1.8e+07,1,350,350,-0.22,-0.22
1.8e+07,1,362.5,362.5,-0.21,-0.21
1.8e+07,1,375,375,-0.2,-0.2
1.8e+07,1,387.5,387.5,-0.19,-0.19
1.8e+07,1,400,400,-0.18,-0.18
1.8e+07,1,412.5,412.5,-0.17,-0.17
1.8e+07,1,425,425,-0.16,-0.16
1.8e+07,1,437.5,437.5,-0.15,-0.15
1.8e+07,1,450,450,-0.14,-0.14
1.8e+07,1,462.5,462.5,-0.13,-0.13
1.8e+07,1,475,475,-0.12,-0.12
1.8e+07,1,487.5,487.5,-0.11,-0.11
1.8e+07,1,500,500,-0.1,-0.1
1.8e+07,1,512.5,512.5,-0.09,-0.09
1.8e+07,1,525,525,-0.08,-0.08
1.8e+07,1,537.5,537.5,-0.07,-0.07
1.8e+07,1,550,550,-0.06,-0.06
1.8e+07,1,562.5,562.5,-0.05,-0.05
1.8e+07,1,575,575,-0.04,-0.04
1.8e+07,1,587.5,587.5,-0.03,-0.03
1.8e+07,1,600,600,-0.02,-0.02
1.8e+07,1,612.5,612.5,-0.01,-0.01
1.8e+07,1,625,625,0,0
1.8e+07,1,637.5,637.5,0.01,0.01
1.8e+07,1,650,650,0.02,0.02
1.8e+07,1,662.5,662.5,0.03,0.03
1.8e+07,1,675,675,0.04,0.04
1.8e+07,1,687.5,687.5,0.05,0.05
1.8002e+07,1,700,700,0.06,0.06
1.8009e+07,1,712.5,712.5,0.07,0.07
1.8034e+07,1,725,725,0.08,0.08
1.8106e+07,1,737.5,737.5,0.09,0.09
1.8262e+07,1,750,750,0.1,0.1
1.852e+07,1,762.5,762.5,0.11,0.11
1.8842e+07,1,775,775,0.12,0.12
1.9161e+07,1,787.5,787.5,0.13,0.13
1.9419e+07,1,800,800,0.14,0.14
1.9593e+07,1,812.5,812.5,0.15,0.15
1.9685e+07,1,825,825,0.16,0.16
1.9721e+07,1,837.5,837.5,0.17,0.17
1.9729e+07,1,850,850,0.18,0.18
1.973e+07,1,862.5,862.5,0.19,0.19
1.973e+07,1,875,875,0.2,0.2
1.973e+07,1,887.5,887.5,0.21,0.21
1.973e+07,1,900,900,0.22,0.22
1.973e+07,1,912.5,912.5,0.23,0.23
1.973e+07,1,925,925,0.24,0.24
1.973e+07,1,937.5,937.5,0.25,0.25
1.973e+07,1,950,950,0.26,0.26
1.973e+07,1,962.5,962.5,0.27,0.27
1.973e+07,1,975,975,0.28,0.28
1.973e+07,1,987.5,987.5,0.29,0.29
1.973e+07,1,1000,1000,0.3,0.3
1.973e+07,1,1012.5,1012.5,0.31,0.31
1.973e+07,1,1025,1025,0.32,0.32
1.973e+07,1,1037.5,1037.5,0.33,0.33
1.973e+07,1,1050,1050,0.34,0.34
1.973e+07,1,1062.5,1062.5,0.35,0.35
1.973e+07,1,1075,1075,0.36,0.36
1.973e+07,1,1087.5,1087.5,0.37,0.37
1.973e+07,1,1100,1100,0.38,0.38
1.973e+07,1,1112.5,1112.5,0.39,0.39
1.973e+07,1,1125,1125,0.4,0.4
1.973e+07,1,1137.5,1137.5,0.41,0.41
1.973e+07,1,1150,1150,0.42,0.42
1.973e+07,1,1162.5,1162.5,0.43,0.43
1.973e+07,1,1175,1175,0.44,0.44
1.973e+07,1,1187.5,1187.5,0.45,0.45
1.973e+07,1,1200,1200,0.46,0.46
1.973e+07,1,1212.5,1212.5,0.47,0.47
1.973e+07,1,1225,1225,0.48,0.48
1.973e+07,1,1237.5,1237.5,0.49,0.49
1.973e+07,1,1250,1250,0.5,0.5
