vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(vtkOriginalCellIds),vtkValidPointMask
1,0,2,0,0,42.7,0,0,42.7,1.8e+07,0.5,42.7,0,0,42.7,1.8e+07,1,42.7,0,0,42.7,1.8e+07,0,42.7,0,0,42.7,1.8e+07,0,42.7,0,0,42.7,1.8e+07,0,42.7,0,0,42.7,1.8e+07,1,0,0,0,0,0,0.707107,1
1,1,2,0.01,0,42.7,1.9984e-13,0,42.7,1.8e+07,0.5,42.7,2.25334e-08,0,42.7,1.8e+07,1,42.7,1.9984e-13,0,42.7,1.8e+07,0,42.7,-2.2533e-08,0,42.7,1.8e+07,0,42.7,-2.2533e-08,0,42.7,1.8e+07,0,42.7,2.25334e-08,0,42.7,1.8e+07,1,0,3.18668e-08,0,0,0,0.707107,1
1,2,2,0.02,0,42.6564,-4.50306e-13,0,42.6564,1.80014e+07,0.5,42.6564,1.61898e-08,0,42.6564,1.80014e+07,1,42.6564,-4.50306e-13,0,42.6564,1.80014e+07,0,42.6564,-1.61907e-08,0,42.6564,1.80014e+07,0,42.6564,-1.61907e-08,0,42.6564,1.80014e+07,0,42.6564,1.61898e-08,0,42.6564,1.80014e+07,1,0,2.28965e-08,0,0,0,0.707107,1
1,3,2,0.03,0,42.2926,5.45008e-13,0,42.2926,1.80134e+07,0.5,42.2926,4.42261e-10,0,42.2926,1.80134e+07,1,42.2926,5.45008e-13,0,42.2926,1.80134e+07,0,42.2926,-4.41171e-10,0,42.2926,1.80134e+07,0,42.2926,-4.41171e-10,0,42.2926,1.80134e+07,0,42.2926,4.42261e-10,0,42.2926,1.80134e+07,1,0,6.24681e-10,0,0,0,0.707107,1
1,4,2,0.04,0,41.5187,-1.79945e-12,0,41.5187,1.8039e+07,0.5,41.5187,4.07495e-08,0,41.5187,1.8039e+07,1,41.5187,-1.79945e-12,0,41.5187,1.8039e+07,0,41.5187,-4.07531e-08,0,41.5187,1.8039e+07,0,41.5187,-4.07531e-08,0,41.5187,1.8039e+07,0,41.5187,4.07495e-08,0,41.5187,1.8039e+07,1,0,5.7631e-08,0,0,0,0.707107,1
1,5,2,0.05,0,40.3214,-9.52127e-13,0,40.3214,1.80787e+07,0.5,40.3214,8.6341e-08,0,40.3214,1.80787e+07,1,40.3214,-9.52127e-13,0,40.3214,1.80787e+07,0,40.3214,-8.63429e-08,0,40.3214,1.80787e+07,0,40.3214,-8.63429e-08,0,40.3214,1.80787e+07,0,40.3214,8.6341e-08,0,40.3214,1.80787e+07,1,0,1.22106e-07,0,0,0,0.707107,1
1,6,2,0.06,0,38.6984,0,0,38.6984,1.81326e+07,0.5,38.6984,1.49938e-07,0,38.6984,1.81326e+07,1,38.6984,0,0,38.6984,1.81326e+07,0,38.6984,-1.49938e-07,0,38.6984,1.81326e+07,0,38.6984,-1.49938e-07,0,38.6984,1.81326e+07,0,38.6984,1.49938e-07,0,38.6984,1.81326e+07,1,0,2.12044e-07,0,0,0,0.707107,1
1,7,2,0.07,0,36.6601,9.9476e-13,0,36.6601,1.82004e+07,0.5,36.6601,2.322e-07,0,36.6601,1.82004e+07,1,36.6601,9.9476e-13,0,36.6601,1.82004e+07,0,36.6601,-2.32198e-07,0,36.6601,1.82004e+07,0,36.6601,-2.32198e-07,0,36.6601,1.82004e+07,0,36.6601,2.322e-07,0,36.6601,1.82004e+07,1,0,3.28379e-07,0,0,0,0.707107,1
1,8,2,0.08,0,34.2311,-1.00897e-12,0,34.2311,1.82816e+07,0.5,34.2311,3.32965e-07,0,34.2311,1.82816e+07,1,34.2311,-1.00897e-12,0,34.2311,1.82816e+07,0,34.2311,-3.32967e-07,0,34.2311,1.82816e+07,0,34.2311,-3.32967e-07,0,34.2311,1.82816e+07,0,34.2311,3.32965e-07,0,34.2311,1.82816e+07,1,0,4.70885e-07,0,0,0,0.707107,1
1,9,2,0.09,0,31.4511,4.9738e-13,0,31.4511,1.8375e+07,0.5,31.4511,4.51456e-07,0,31.4511,1.8375e+07,1,31.4511,4.9738e-13,0,31.4511,1.8375e+07,0,31.4511,-4.51455e-07,0,31.4511,1.8375e+07,0,31.4511,-4.51455e-07,0,31.4511,1.8375e+07,0,31.4511,4.51456e-07,0,31.4511,1.8375e+07,1,0,6.38454e-07,0,0,0,0.707107,1
