vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,50.6,40,0.1,26.2437,3.17554,6.49222e-16,0,0,1.85241e+07,1
1,50.788,40,0.1,26.379,1.21998,0,0,0.188,1.85273e+07,1
2,50.976,40,0.1,26.2554,0.548305,0,0,0.376003,1.85312e+07,1
3,51.164,40,0.1,26.1,0.253913,0,0,0.564003,1.85352e+07,1
4,51.352,40,0.1,25.9471,0.120003,0,0,0.752003,1.85391e+07,1
5,51.54,40,0.1,25.8029,0.0607825,0,0,0.940002,1.8543e+07,1
6,51.728,40,0.1,25.6646,0.0336775,0,0,1.128,1.8547e+07,1
7,51.916,40,0.1,25.5291,0.0193325,0,0,1.316,1.8551e+07,1
8,52.104,40,0.1,25.3951,0.010605,0,0,1.504,1.8555e+07,1
9,52.292,40,0.1,25.2625,0.00496,0,0,1.692,1.85591e+07,1
10,52.48,40,0.1,25.1314,0.0012225,0,0,1.88,1.85631e+07,1
11,52.668,40,0.1,25.0017,-0.0013275,0,0,2.068,1.85672e+07,1
12,52.856,40,0.1,24.8732,-0.003025,0,0,2.256,1.85712e+07,1
13,53.044,40,0.1,24.7456,-0.0039675,0,0,2.444,1.85752e+07,1
14,53.232,40,0.1,24.6188,-0.004335,0,0,2.632,1.85793e+07,1
15,53.42,40,0.1,24.4927,-0.0043075,0,0,2.82,1.85834e+07,1
16,53.608,40,0.1,24.3673,-0.0040275,0,0,3.008,1.85874e+07,1
17,53.796,40,0.1,24.2425,-0.0036025,0,0,3.196,1.85916e+07,1
18,53.984,40,0.1,24.1182,-0.0031125,0,0,3.384,1.85956e+07,1
19,54.172,40,0.1,23.9944,-0.0026225,0,0,3.572,1.85998e+07,1
20,54.36,40,0.1,23.871,-0.002175,0,0,3.76,1.86039e+07,1
21,54.548,40,0.1,23.7478,-0.001785,0,0,3.948,1.8608e+07,1
22,54.736,40,0.1,23.6248,-0.00145,0,0,4.136,1.86122e+07,1
23,54.924,40,0.1,23.5019,-0.001165,0,0,4.324,1.86163e+07,1
24,55.112,40,0.1,23.3792,-0.000925,0,0,4.512,1.86204e+07,1
25,55.3,40,0.1,23.2565,-0.00072,0,0,4.7,1.86246e+07,1
26,55.488,40,0.1,23.1337,-0.00054,0,0,4.888,1.86287e+07,1
27,55.676,40,0.1,23.0109,-0.0003875,0,0,5.076,1.86329e+07,1
28,55.864,40,0.1,22.8881,-0.0002725,0,0,5.264,1.8637e+07,1
29,56.052,40,0.1,22.7652,-0.0002125,0,0,5.452,1.86412e+07,1
30,56.24,40,0.1,22.6421,-0.0002225,0,0,5.64,1.86454e+07,1
31,56.428,40,0.1,22.5189,-0.0003075,0,0,5.828,1.86496e+07,1
32,56.616,40,0.1,22.3955,-0.0004725,0,0,6.016,1.86538e+07,1
33,56.804,40,0.1,22.2719,-0.00071,0,0,6.204,1.86579e+07,1
34,56.992,40,0.1,22.1481,-0.001015,0,0,6.392,1.86621e+07,1
35,57.18,40,0.1,22.024,-0.001395,0,0,6.58,1.86663e+07,1
36,57.368,40,0.1,21.8997,-0.00184,0,0,6.768,1.86705e+07,1
37,57.556,40,0.1,21.775,-0.002325,0,0,6.956,1.86747e+07,1
38,57.744,40,0.1,21.6501,-0.00283,0,0,7.144,1.86789e+07,1
39,57.932,40,0.1,21.525,-0.003345,0,0,7.332,1.86831e+07,1
40,58.12,40,0.1,21.3996,-0.0038575,0,0,7.52,1.86874e+07,1
41,58.308,40,0.1,21.274,-0.004345,0,0,7.708,1.86916e+07,1
42,58.496,40,0.1,21.1485,-0.004795,0,0,7.896,1.86958e+07,1
43,58.684,40,0.1,21.0229,-0.00521,0,0,8.084,1.87e+07,1
44,58.872,40,0.1,20.8975,-0.0056,0,0,8.272,1.87042e+07,1
45,59.06,40,0.1,20.7723,-0.0059825,0,0,8.46,1.87085e+07,1
46,59.248,40,0.1,20.6476,-0.006385,0,0,8.648,1.87127e+07,1
47,59.436,40,0.1,20.5233,-0.0068425,0,0,8.836,1.87169e+07,1
48,59.624,40,0.1,20.3998,-0.0074,0,0,9.024,1.87212e+07,1
49,59.812,40,0.1,20.2771,-0.0081025,0,0,9.212,1.87254e+07,1
50,60,40,0.1,20.1555,-0.0089925,0,0,9.4,1.87296e+07,1
51,60.188,40,0.1,20.0349,-0.0101,0,0,9.588,1.87339e+07,1
52,60.376,40,0.1,19.9156,-0.0114325,0,0,9.776,1.87381e+07,1
53,60.564,40,0.1,19.7977,-0.01298,0,0,9.964,1.87424e+07,1
54,60.752,40,0.1,19.6812,-0.0147025,0,0,10.152,1.87466e+07,1
55,60.94,40,0.1,19.5662,-0.016545,0,0,10.34,1.87508e+07,1
56,61.128,40,0.1,19.4527,-0.018465,0,0,10.528,1.8755e+07,1
57,61.316,40,0.1,19.3406,-0.0204275,0,0,10.716,1.87593e+07,1
58,61.504,40,0.1,19.2297,-0.022405,0,0,10.904,1.87636e+07,1
59,61.692,40,0.1,19.1199,-0.02437,0,0,11.092,1.87678e+07,1
60,61.88,40,0.1,19.0112,-0.02629,0,0,11.28,1.8772e+07,1
61,62.068,40,0.1,18.9032,-0.0281175,0,0,11.468,1.87763e+07,1
62,62.256,40,0.1,18.7961,-0.029805,0,0,11.656,1.87805e+07,1
