vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(vtkOriginalCellIds),vtkValidPointMask
1,0,230,0,0,40.6361,38.1187,0,57.9,2055.96,57.9,57.9,0,57.9,4000,40.9415,40.9415,0,57.9,2094,0,0,0,57.9,198,40.9415,40.9415,0,57.9,2037,40.9415,40.9415,0,57.9,2152,9.91061,12.2861,0,9.01264e-06,418.881,1
1,1,230,0.009975,0,37.9455,34.336,-1.94437e-16,58.1901,2055.96,73.2834,64.2383,8.02779e-14,74.1559,4000,42.6048,39.438,0,57.8738,2094,-3.32851,0.020448,-7.96378e-14,47.7321,198,20.5912,16.181,-1.95129e-15,53.2514,2037,53.4643,51.0347,1.87202e-15,62.1331,2152,20.2626,20.0329,1.33359e-14,6.42432,418.881,1
1,2,230,0.01995,0,38.7206,35.0471,-1.97428e-16,59.0528,2055.96,78.8338,70.058,7.95237e-14,80.7345,4000,40.3181,38.6257,0,56.9604,2094,-1.09579,0.0344538,-7.96309e-14,39.1622,198,22.1461,16.5537,-1.94496e-15,50.9373,2037,55.4351,53.1109,1.83194e-15,66.3428,2152,20.9092,20.8572,1.33289e-14,10.4526,418.881,1
1,3,230,0.029925,0,38.5899,35.1787,-1.94608e-16,59.0964,2055.96,79.5659,74.7378,8.0056e-14,81.8123,4000,40.3536,37.4315,0,56.9753,2094,-1.50326,0.0360467,-8.00722e-14,42.9184,198,20.9687,16.7915,-1.94152e-15,49.1294,2037,55.7564,52.6573,1.79444e-15,69.286,2152,21.2971,21.4112,1.33676e-14,11.9578,418.881,1
1,4,230,0.040075,0,38.5068,35.1695,-1.94082e-16,59.0616,2055.96,79.6638,75.8668,8.01356e-14,81.9749,4000,40.1943,37.1025,0,56.9405,2094,-2.9647,0.0362457,-8.01266e-14,42.5963,198,21.0152,16.8313,-1.94123e-15,48.4392,2037,55.9603,52.1561,1.78578e-15,69.9392,2152,21.4468,21.539,1.33803e-14,12.3263,418.881,1
1,5,230,0.05005,0,38.4872,35.1668,-1.94e-16,59.054,2055.96,79.673,76.0637,8.01444e-14,81.9929,4000,40.1766,37.1037,0,56.8906,2094,-3.41314,0.0362783,-8.01337e-14,42.5355,198,20.9507,16.837,-1.94104e-15,48.3563,2037,55.9895,52.2026,1.78425e-15,70.08,2152,21.4797,21.5616,1.33823e-14,12.3901,418.881,1
1,6,230,0.060025,0,38.4284,35.0987,-1.94052e-16,58.9552,2055.96,79.5787,75.9399,8.01637e-14,81.8821,4000,40.1193,37.0458,0,56.8255,2094,-3.52989,0.0362803,-8.01522e-14,42.4497,198,20.9142,16.8107,-1.9418e-15,48.2568,2037,55.9033,52.0857,1.78521e-15,69.9499,2152,21.4634,21.5181,1.3386e-14,12.3813,418.881,1
1,7,230,0.07,0,38.2266,34.9603,-1.94158e-16,58.6807,2055.96,79.1226,75.6636,8.02124e-14,81.465,4000,39.9144,36.8598,0,56.4717,2094,-3.51842,0.0361873,-8.02026e-14,42.2392,198,20.8456,16.7311,-1.94354e-15,48.0474,2037,55.6621,51.9029,1.78709e-15,69.7126,2152,21.336,21.4489,1.33954e-14,12.3299,418.881,1
1,8,230,0.079975,0,38.3798,35.0753,-1.94072e-16,58.8978,2055.96,79.4498,75.9005,8.01758e-14,81.7646,4000,40.0693,37.0064,0,56.7403,2094,-3.5606,0.0362474,-8.0165e-14,42.3959,198,20.8933,16.7928,-1.94213e-15,48.2106,2037,55.8472,52.0761,1.78543e-15,69.9322,2152,21.4308,21.511,1.33882e-14,12.3691,418.881,1
1,9,230,0.08995,0,38.367,35.0566,-1.94109e-16,58.8723,2055.96,79.4309,75.8553,8.01822e-14,81.7427,4000,40.0577,36.9921,0,56.7204,2094,-3.55289,0.0362478,-8.01714e-14,42.3672,198,20.8852,16.787,-1.94226e-15,48.1925,2037,55.83,52.0431,1.78579e-15,69.8879,2152,21.4264,21.4972,1.33892e-14,12.3661,418.881,1
