vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(vtkOriginalCellIds),vtkValidPointMask
1,0,2,0,0,76.2,0,0,76.2,1.8e+07,0.5,76.2,0,0,76.2,1.8e+07,1,76.2,0,0,76.2,1.8e+07,0,76.2,0,0,76.2,1.8e+07,0,76.2,0,0,76.2,1.8e+07,0,76.2,0,0,76.2,1.8e+07,1,0,0,0,0,0,0.707107,1
1,1,2,0.01005,0,76.2,1.01252e-13,0,76.2,1.8e+07,0.5,76.2,5.75281e-08,0,76.2,1.8e+07,1,76.2,1.01252e-13,0,76.2,1.8e+07,0,76.2,-5.75279e-08,0,76.2,1.8e+07,0,76.2,-5.75279e-08,0,76.2,1.8e+07,0,76.2,5.75281e-08,0,76.2,1.8e+07,1,0,8.13569e-08,0,0,0,0.707107,1
1,2,2,0.01995,0,76.2,1.01252e-13,0,76.2,1.8e+07,0.5,76.2,3.41013e-08,0,76.2,1.8e+07,1,76.2,1.01252e-13,0,76.2,1.8e+07,0,76.2,-3.41011e-08,0,76.2,1.8e+07,0,76.2,-3.41011e-08,0,76.2,1.8e+07,0,76.2,3.41013e-08,0,76.2,1.8e+07,1,0,4.82264e-08,0,0,0,0.707107,1
1,3,2,0.03,0,76.2,9.9476e-14,0,76.2,1.8e+07,0.5,76.2,2.17404e-08,0,76.2,1.8e+07,1,76.2,9.9476e-14,0,76.2,1.8e+07,0,76.2,-2.17402e-08,0,76.2,1.8e+07,0,76.2,-2.17402e-08,0,76.2,1.8e+07,0,76.2,2.17404e-08,0,76.2,1.8e+07,1,0,3.07454e-08,0,0,0,0.707107,1
1,4,2,0.04005,0,76.2,2.50022e-13,0,76.2,1.8e+07,0.5,76.2,1.45675e-08,0,76.2,1.8e+07,1,76.2,2.50022e-13,0,76.2,1.8e+07,0,76.2,-1.4567e-08,0,76.2,1.8e+07,0,76.2,-1.4567e-08,0,76.2,1.8e+07,0,76.2,1.45675e-08,0,76.2,1.8e+07,1,0,2.06012e-08,0,0,0,0.707107,1
1,5,2,0.04995,0,76.2,3.49942e-13,0,76.2,1.8e+07,0.5,76.2,1.01096e-08,0,76.2,1.8e+07,1,76.2,3.49942e-13,0,76.2,1.8e+07,0,76.2,-1.01089e-08,0,76.2,1.8e+07,0,76.2,-1.01089e-08,0,76.2,1.8e+07,0,76.2,1.01096e-08,0,76.2,1.8e+07,1,0,1.42966e-08,0,0,0,0.707107,1
1,6,2,0.06,0,76.1813,2.00284e-13,0,76.1813,1.80006e+07,0.5,76.1813,1.18891e-08,0,76.1813,1.80006e+07,1,76.1813,2.00284e-13,0,76.1813,1.80006e+07,0,76.1813,-1.18887e-08,0,76.1813,1.80006e+07,0,76.1813,-1.18887e-08,0,76.1813,1.80006e+07,0,76.1813,1.18891e-08,0,76.1813,1.80006e+07,1,0,1.68134e-08,0,0,0,0.707107,1
1,7,2,0.07005,0,75.8064,-7.49623e-13,0,75.8064,1.8013e+07,0.5,75.8064,3.9829e-08,0,75.8064,1.8013e+07,1,75.8064,-7.49623e-13,0,75.8064,1.8013e+07,0,75.8064,-3.98305e-08,0,75.8064,1.8013e+07,0,75.8064,-3.98305e-08,0,75.8064,1.8013e+07,0,75.8064,3.9829e-08,0,75.8064,1.8013e+07,1,0,5.63278e-08,0,0,0,0.707107,1
1,8,2,0.07995,0,74.7143,-2.50466e-13,0,74.7143,1.80491e+07,0.5,74.7143,4.18855e-08,0,74.7143,1.80491e+07,1,74.7143,-2.50466e-13,0,74.7143,1.80491e+07,0,74.7143,-4.1886e-08,0,74.7143,1.80491e+07,0,74.7143,-4.1886e-08,0,74.7143,1.80491e+07,0,74.7143,4.18855e-08,0,74.7143,1.80491e+07,1,0,5.92354e-08,0,0,0,0.707107,1
1,9,2,0.09,0,72.8035,-2.50022e-13,0,72.8035,1.81124e+07,0.5,72.8035,1.04567e-08,0,72.8035,1.81124e+07,1,72.8035,-2.50022e-13,0,72.8035,1.81124e+07,0,72.8035,-1.04572e-08,0,72.8035,1.81124e+07,0,72.8035,-1.04572e-08,0,72.8035,1.81124e+07,0,72.8035,1.04567e-08,0,72.8035,1.81124e+07,1,0,1.47884e-08,0,0,0,0.707107,1
1,10,2,0.10005,0,70.056,0,0,70.056,1.82038e+07,0.5,70.056,1.21092e-07,0,70.056,1.82038e+07,1,70.056,0,0,70.056,1.82038e+07,0,70.056,-1.21092e-07,0,70.056,1.82038e+07,0,70.056,-1.21092e-07,0,70.056,1.82038e+07,0,70.056,1.21092e-07,0,70.056,1.82038e+07,1,0,1.7125e-07,0,0,0,0.707107,1
1,11,2,0.10995,0,66.5292,-1.50635e-12,0,66.5292,1.83218e+07,0.5,66.5292,3.03273e-07,0,66.5292,1.83218e+07,1,66.5292,-1.50635e-12,0,66.5292,1.83218e+07,0,66.5292,-3.03276e-07,0,66.5292,1.83218e+07,0,66.5292,-3.03276e-07,0,66.5292,1.83218e+07,0,66.5292,3.03273e-07,0,66.5292,1.83218e+07,1,0,4.28895e-07,0,0,0,0.707107,1
1,12,2,0.12,0,62.1472,0,0,62.1472,1.84694e+07,0.5,62.1472,5.39361e-07,0,62.1472,1.84694e+07,1,62.1472,0,0,62.1472,1.84694e+07,0,62.1472,-5.39361e-07,0,62.1472,1.84694e+07,0,62.1472,-5.39361e-07,0,62.1472,1.84694e+07,0,62.1472,5.39361e-07,0,62.1472,1.84694e+07,1,0,7.62772e-07,0,0,0,0.707107,1
1,13,2,0.13005,0,57.027,0,0,57.027,1.86433e+07,0.5,57.027,7.19654e-07,0,57.027,1.86433e+07,1,57.027,0,0,57.027,1.86433e+07,0,57.027,-7.19654e-07,0,57.027,1.86433e+07,0,57.027,-7.19654e-07,0,57.027,1.86433e+07,0,57.027,7.19654e-07,0,57.027,1.86433e+07,1,0,1.01774e-06,0,0,0,0.707107,1
1,14,2,0.13995,0,51.3684,-5.11591e-13,0,51.3684,1.88371e+07,0.5,51.3684,9.46338e-07,0,51.3684,1.88371e+07,1,51.3684,-5.11591e-13,0,51.3684,1.88371e+07,0,51.3684,-9.46339e-07,0,51.3684,1.88371e+07,0,51.3684,-9.46339e-07,0,51.3684,1.88371e+07,0,51.3684,9.46338e-07,0,51.3684,1.88371e+07,1,0,1.33832e-06,0,0,0,0.707107,1
1,15,2,0.15,0,45.0355,0,0,45.0355,1.90483e+07,0.5,45.0355,1.17546e-06,0,45.0355,1.90483e+07,1,45.0355,0,0,45.0355,1.90483e+07,0,45.0355,-1.17546e-06,0,45.0355,1.90483e+07,0,45.0355,-1.17546e-06,0,45.0355,1.90483e+07,0,45.0355,1.17546e-06,0,45.0355,1.90483e+07,1,0,1.66235e-06,0,0,0,0.707107,1
