vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(vtkOriginalCellIds),vtkValidPointMask
1,0,200,0,0,53.8815,-53.8815,0,76.2,99.5,53.8815,-53.8815,0,76.2,199,53.8815,-53.8815,0,76.2,99,53.8815,-53.8815,0,76.2,0,53.8815,-53.8815,0,76.2,49,53.8815,-53.8815,0,76.2,149,0,0,0,0,57.8792,1
1,1,200,0.01005,0,48.4903,-50.4246,3.88541e-16,77.2807,99.5,84.147,-0.93796,4.69193e-14,103.185,199,53.4053,-53.4372,0,74.8827,99,2.00566,-101.373,-3.34875e-14,59.6087,0,28.4501,-67.1081,-1.56098e-15,68.7593,49,68.91,-29.9546,2.6356e-15,83.6106,149,23.554,25.6891,8.57196e-15,11.443,57.8792,1
1,2,200,0.01995,0,49.4087,-50.6018,3.76713e-16,78.0135,99.5,98.0292,-0.870386,4.65249e-14,107.342,199,51.3394,-51.1265,0,73.0899,99,1.98051,-104.211,-3.40817e-14,56.3754,0,27.7992,-68.4963,-1.54636e-15,64.2988,49,68.7717,-29.8472,2.65115e-15,91.4617,149,25.5471,26.5377,8.58601e-15,16.3433,57.8792,1
1,3,200,0.03,0,49.3872,-50.4104,3.77134e-16,77.9201,99.5,100.406,-0.450126,4.66655e-14,107.61,199,50.5518,-51.0096,0,73.8454,99,1.97898,-104.352,-3.41704e-14,55.7618,0,27.8082,-68.4745,-1.54595e-15,61.8162,49,67.7669,-28.6932,2.65458e-15,93.8216,149,25.9207,26.8559,8.60932e-15,17.2163,57.8792,1
1,4,200,0.04005,0,49.3887,-50.3878,3.77082e-16,77.9147,99.5,100.645,-0.175683,4.66738e-14,107.62,199,50.4578,-51.0061,0,73.9402,99,1.97875,-104.355,-3.41739e-14,55.7043,0,27.8107,-68.4753,-1.54585e-15,61.5877,49,67.7981,-28.6282,2.65457e-15,93.9598,149,25.9606,26.8915,8.61103e-15,17.2944,57.8792,1
1,5,200,0.04995,0,49.2583,-50.2226,3.77256e-16,77.6853,99.5,100.426,-0.117162,4.66872e-14,107.271,199,50.3167,-50.8342,0,73.7691,99,1.97096,-103.99,-3.41837e-14,55.5347,0,27.7221,-68.2063,-1.5466e-15,61.3991,49,67.6367,-28.5509,2.65632e-15,93.7417,149,25.9066,26.7983,8.61429e-15,17.2491,57.8792,1
1,6,200,0.06,0,49.2102,-50.2133,3.77347e-16,77.6397,99.5,100.281,-0.149513,4.66924e-14,107.246,199,50.2469,-50.8412,0,73.6544,99,1.97326,-103.994,-3.41881e-14,55.4784,0,27.7224,-68.271,-1.54682e-15,61.3585,49,67.5406,-28.5176,2.65635e-15,93.629,149,25.8667,26.8078,8.61536e-15,17.245,57.8792,1
1,7,200,0.07005,0,49.2715,-50.2623,3.77256e-16,77.7266,99.5,100.422,-0.139091,4.66871e-14,107.35,199,50.3203,-50.8864,0,73.7724,99,1.97384,-104.088,-3.41828e-14,55.5398,0,27.7471,-68.3128,-1.54648e-15,61.4287,49,67.6445,-28.5583,2.65583e-15,93.7521,149,25.9037,26.8298,8.614e-15,17.261,57.8792,1
1,8,200,0.07995,0,48.9562,-49.9231,3.77697e-16,77.2163,99.5,99.7993,-0.0951523,4.67176e-14,106.641,199,49.9827,-50.5222,0,73.3139,99,1.96048,-103.383,-3.42054e-14,55.1578,0,27.5583,-67.8239,-1.5482e-15,61.0273,49,67.2168,-28.3758,2.65935e-15,93.1697,149,25.7464,26.6474,8.62135e-15,17.1529,57.8792,1
1,9,200,0.09,0,49.1372,-50.128,3.77472e-16,77.5164,99.5,100.141,-0.146569,4.67018e-14,107.054,199,50.1628,-50.7586,0,73.5658,99,1.96912,-103.802,-3.41936e-14,55.365,0,27.6774,-68.1456,-1.5472e-15,61.259,49,67.4592,-28.477,2.65721e-15,93.5042,149,25.8332,26.7601,8.6173e-15,17.2192,57.8792,1
1,10,200,0.10005,0,49.1598,-50.148,3.7743e-16,77.5498,99.5,100.193,-0.139774,4.67006e-14,107.099,199,50.1881,-50.7746,0,73.6096,99,1.96932,-103.842,-3.41914e-14,55.3784,0,27.6876,-68.1644,-1.54707e-15,61.2894,49,67.4962,-28.4941,2.65699e-15,93.5467,149,25.8463,26.7702,8.61678e-15,17.2269,57.8792,1
1,11,200,0.10995,0,49.1595,-50.1476,3.77437e-16,77.5492,99.5,100.195,-0.138591,4.67023e-14,107.096,199,50.1808,-50.7759,0,73.61,99,1.96914,-103.838,-3.41917e-14,55.3637,0,27.6884,-68.1657,-1.54707e-15,61.2898,49,67.4969,-28.4937,2.65698e-15,93.55,149,25.8469,26.7705,8.6169e-15,17.2292,57.8792,1
1,12,200,0.12,0,49.1603,-50.148,3.77443e-16,77.5501,99.5,100.198,-0.140097,4.67034e-14,107.094,199,50.1768,-50.779,0,73.6142,99,1.96898,-103.835,-3.41918e-14,55.3525,0,27.6899,-68.1678,-1.54705e-15,61.2905,49,67.5011,-28.4943,2.65696e-15,93.5544,149,25.848,26.7709,8.61697e-15,17.231,57.8792,1
1,13,200,0.13005,0,49.0384,-50.0094,3.77613e-16,77.3468,99.5,99.9635,-0.124256,4.67157e-14,106.8,199,50.0462,-50.633,0,73.4449,99,1.96297,-103.537,-3.42006e-14,55.1978,0,27.6143,-67.9575,-1.54772e-15,61.1289,49,67.343,-28.4245,2.65842e-15,93.3341,149,25.7898,26.6934,8.61989e-15,17.1877,57.8792,1
1,14,200,0.13995,0,48.9035,-49.8932,3.77817e-16,77.1505,99.5,99.6609,-0.134396,4.67288e-14,106.555,199,49.8924,-50.5186,0,73.2219,99,1.96015,-103.312,-3.42107e-14,55.0384,0,27.5523,-67.8403,-1.54842e-15,60.9734,49,67.1416,-28.3438,2.65958e-15,93.0674,149,25.7112,26.6405,8.62297e-15,17.1489,57.8792,1
1,15,200,0.15,0,49.0371,-50.0216,3.77636e-16,77.3549,99.5,99.9406,-0.148659,4.67171e-14,106.815,199,50.0359,-50.6582,0,73.4367,99,1.96408,-103.562,-3.4201e-14,55.184,0,27.6245,-68.0045,-1.5477e-15,61.1334,49,67.3404,-28.4233,2.65825e-15,93.3262,149,25.7839,26.7044,8.62e-15,17.1912,57.8792,1
1,16,200,0.16005,0,49.0408,-50.025,3.77634e-16,77.3604,99.5,99.9516,-0.145297,4.67184e-14,106.822,199,50.0343,-50.6614,0,73.4437,99,1.96396,-103.567,-3.42009e-14,55.1734,0,27.6271,-68.0088,-1.54767e-15,61.1405,49,67.3463,-28.4266,2.65821e-15,93.3352,149,25.7867,26.7065,8.61999e-15,17.1945,57.8792,1
1,17,200,0.16995,0,49.0405,-50.0245,3.77639e-16,77.3596,99.5,99.9526,-0.146096,4.67197e-14,106.818,199,50.0284,-50.6632,0,73.4454,99,1.96378,-103.562,-3.42012e-14,55.1603,0,27.6279,-68.0101,-1.54767e-15,61.14,49,67.3481,-28.4263,2.6582e-15,93.3375,149,25.7871,26.7066,8.6201e-15,17.1963,57.8792,1
1,18,200,0.18,0,49.0405,-50.0245,3.77646e-16,77.3595,99.5,99.9537,-0.147833,4.6721e-14,106.815,199,50.0237,-50.6657,0,73.4479,99,1.96363,-103.559,-3.42013e-14,55.1484,0,27.6292,-68.0121,-1.54766e-15,61.1401,49,67.3507,-28.4266,2.6582e-15,93.34,149,25.7876,26.7069,8.62018e-15,17.1979,57.8792,1
1,19,200,0.19005,0,49.0395,-50.0233,3.77649e-16,77.3577,99.5,99.9526,-0.149454,4.67222e-14,106.809,199,50.018,-50.6669,0,73.4489,99,1.96342,-103.553,-3.42016e-14,55.1354,0,27.6297,-68.0123,-1.54765e-15,61.1391,49,67.3519,-28.4263,2.6582e-15,93.3404,149,25.7876,26.7064,8.62028e-15,17.199,57.8792,1
