vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(vtkOriginalCellIds),vtkValidPointMask
1,0,2,0,0,42.7,0,0,42.7,1.8e+07,0.5,42.7,0,0,42.7,1.8e+07,1,42.7,0,0,42.7,1.8e+07,0,42.7,0,0,42.7,1.8e+07,0,42.7,0,0,42.7,1.8e+07,0,42.7,0,0,42.7,1.8e+07,1,0,0,0,0,0,0.707107,1
1,1,2,0.01,0,42.6515,1.9984e-13,0,42.6515,1.79984e+07,0.5,42.6515,2.74211e-08,0,42.6515,1.79984e+07,1,42.6515,1.9984e-13,0,42.6515,1.79984e+07,0,42.6515,-2.74207e-08,0,42.6515,1.79984e+07,0,42.6515,-2.74207e-08,0,42.6515,1.79984e+07,0,42.6515,2.74211e-08,0,42.6515,1.79984e+07,1,0,3.8779e-08,0,0,0,0.707107,1
1,2,2,0.02,0,42.6788,4.00568e-13,0,42.6788,1.79993e+07,0.5,42.6788,1.82242e-08,0,42.6788,1.79993e+07,1,42.6788,4.00568e-13,0,42.6788,1.79993e+07,0,42.6788,-1.82234e-08,0,42.6788,1.79993e+07,0,42.6788,-1.82234e-08,0,42.6788,1.79993e+07,0,42.6788,1.82242e-08,0,42.6788,1.79993e+07,1,0,2.57723e-08,0,0,0,0.707107,1
1,3,2,0.03,0,42.6349,-6.99885e-13,0,42.6349,1.79978e+07,0.5,42.6349,1.62049e-08,0,42.6349,1.79978e+07,1,42.6349,-6.99885e-13,0,42.6349,1.79978e+07,0,42.6349,-1.62063e-08,0,42.6349,1.79978e+07,0,42.6349,-1.62063e-08,0,42.6349,1.79978e+07,0,42.6349,1.62049e-08,0,42.6349,1.79978e+07,1,0,2.29182e-08,0,0,0,0.707107,1
1,4,2,0.04,0,42.6429,1.10001e-12,0,42.6429,1.79981e+07,0.5,42.6429,1.2685e-08,0,42.6429,1.79981e+07,1,42.6429,1.10001e-12,0,42.6429,1.79981e+07,0,42.6429,-1.26828e-08,0,42.6429,1.79981e+07,0,42.6429,-1.26828e-08,0,42.6429,1.79981e+07,0,42.6429,1.2685e-08,0,42.6429,1.79981e+07,1,0,1.79377e-08,0,0,0,0.707107,1
1,5,2,0.05,0,42.6436,2.87996e-11,0,42.6436,1.79981e+07,0.5,42.6436,1.04965e-08,0,42.6436,1.79981e+07,1,42.6436,2.87996e-11,0,42.6436,1.79981e+07,0,42.6436,-1.04389e-08,0,42.6436,1.79981e+07,0,42.6436,-1.04389e-08,0,42.6436,1.79981e+07,0,42.6436,1.04965e-08,0,42.6436,1.79981e+07,1,0,1.48036e-08,0,0,0,0.707107,1
1,6,2,0.06,0,42.636,1.72879e-09,0,42.636,1.79979e+07,0.5,42.636,1.2236e-08,0,42.636,1.79979e+07,1,42.636,1.72879e-09,0,42.636,1.79979e+07,0,42.636,-8.77842e-09,0,42.636,1.79979e+07,0,42.636,-8.77842e-09,0,42.636,1.79979e+07,0,42.636,1.2236e-08,0,42.636,1.79979e+07,1,0,1.48594e-08,0,0,0,0.707107,1
1,7,2,0.07,0,42.3877,5.12329e-08,0,42.3877,1.79897e+07,0.5,42.3877,7.48256e-08,0,42.3877,1.79897e+07,1,42.3877,5.12329e-08,0,42.3877,1.79897e+07,0,42.3877,2.76402e-08,0,42.3877,1.79897e+07,0,42.3877,2.76402e-08,0,42.3877,1.79897e+07,0,42.3877,7.48256e-08,0,42.3877,1.79897e+07,1,0,3.33651e-08,0,0,0,0.707107,1
1,8,2,0.08,0,42.5596,8.53911e-07,0,42.5596,1.79954e+07,0.5,42.5596,8.66151e-07,0,42.5596,1.79954e+07,1,42.5596,8.5391e-07,0,42.5596,1.79954e+07,0,42.5596,8.4167e-07,0,42.5596,1.79954e+07,0,42.5596,8.4167e-07,0,42.5596,1.79954e+07,0,42.5596,8.66151e-07,0,42.5596,1.79954e+07,1,0,1.73107e-08,0,0,0,0.707107,1
1,9,2,0.09,0,42.5458,8.93308e-06,0,42.5458,1.79949e+07,0.5,42.5458,9.03588e-06,0,42.5458,1.79949e+07,1,42.5458,8.93308e-06,0,42.5458,1.79949e+07,0,42.5458,8.83027e-06,0,42.5458,1.79949e+07,0,42.5458,8.83027e-06,0,42.5458,1.79949e+07,0,42.5458,9.03588e-06,0,42.5458,1.79949e+07,1,0,1.45388e-07,0,0,0,0.707107,1
