vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
0,70.6,0,0.1,31.1361,-3.65381,8.80132e-16,0,0,1.83325e+07,1
1,72.094,0,0.1,30.6149,-0.0122875,0,0,1.494,1.83572e+07,1
2,73.588,0,0.1,29.8032,0.002115,0,0,2.988,1.83839e+07,1
3,75.082,0,0.1,29.0019,0.0014625,0,1,4.482,1.84114e+07,1
4,76.576,0,0.1,28.194,0.0083725,0,0,5.976,1.84394e+07,1
5,78.07,0,0.1,27.4303,0.01971,0,0,7.47,1.84681e+07,1
6,79.564,0,0.1,26.6621,0.0209275,0,0,8.964,1.84972e+07,1
7,81.058,0,0.1,25.8731,-0.02467,0,0,10.458,1.85268e+07,1
8,82.552,0,0.1,25.2362,-0.047561,5.2e-34,0,11.952,1.85566e+07,1
9,84.046,0,0.1,24.6912,0.0342648,0,0,13.446,1.85864e+07,1
10,85.54,0,0.1,23.9844,0.0519697,1.5e-34,0,14.94,1.86165e+07,1
11,87.034,0,0.1,23.1269,0.0210413,0,0,16.434,1.86468e+07,1
12,88.528,0,0.1,22.2078,0.00421443,0,0,17.928,1.86774e+07,1
13,90.022,0,0.1,21.2749,0.00047965,0,0,19.422,1.87082e+07,1
14,91.516,0,0.1,20.3431,3.30151e-05,0,0,20.916,1.87391e+07,1
15,93.01,0,0.1,19.4163,1.41817e-06,0,0,22.41,1.87701e+07,1
16,94.504,0,0.1,18.4963,4.00155e-08,0,0,23.904,1.88012e+07,1
17,95.998,0,0.1,17.5847,7.525e-10,0,0,25.398,1.88322e+07,1
18,97.492,0,0.1,16.6826,1.25e-11,0,0,26.892,1.8863e+07,1
19,98.986,0,0.1,15.7915,2.5e-12,0,0,28.386,1.88936e+07,1
20,100.48,0,0.1,14.9129,3.79047e-20,0,0,29.88,1.89239e+07,1
21,101.974,0,0.1,14.0482,-3.97311e-20,0,0,31.374,1.89538e+07,1
22,103.468,0,0.1,13.1988,6.17011e-20,0,0,32.868,1.89832e+07,1
23,104.962,0,0.1,12.3666,2.14935e-20,0,0,34.362,1.9012e+07,1
24,106.456,0,0.1,11.5529,4.44692e-20,0,0,35.856,1.90403e+07,1
25,107.95,0,0.1,10.7592,-4.6428e-20,0,0,37.35,1.90679e+07,1
26,109.444,0,0.1,9.98689,-4.80691e-20,0,0,38.844,1.90948e+07,1
27,110.938,0,0.1,9.23728,2.47492e-20,0,0,40.338,1.9121e+07,1
28,112.432,0,0.1,8.51155,2.5e-12,0,0,41.832,1.91462e+07,1
29,113.926,0,0.1,7.81084,-5.29396e-20,0,0,43.326,1.91708e+07,1
30,115.42,0,0.1,7.13617,2.5e-12,0,0,44.82,1.91944e+07,1
31,116.914,0,0.1,6.48848,0,0,0,46.314,1.9217e+07,1
32,118.408,0,0.1,5.86862,2.5e-12,0,0,47.808,1.92388e+07,1
33,119.902,0,0.1,5.27731,2.5e-12,0,0,49.302,1.92596e+07,1
34,121.396,0,0.1,4.71524,6.01923e-20,0,0,50.796,1.92793e+07,1
35,122.89,0,0.1,4.18296,2.5e-12,0,0,52.29,1.9298e+07,1
36,124.384,0,0.1,3.68097,2.5e-12,0,0,53.784,1.93157e+07,1
37,125.878,0,0.1,3.20967,3.2399e-20,0,0,55.278,1.93323e+07,1
38,127.372,0,0.1,2.76934,3.27166e-20,0,0,56.772,1.93478e+07,1
39,128.866,0,0.1,2.3602,-2.5e-12,0,0,58.266,1.93622e+07,1
40,130.36,0,0.1,1.98238,-2.5e-12,0,0,59.76,1.93756e+07,1
41,131.854,0,0.1,1.63593,5.29396e-23,0,0,61.254,1.93878e+07,1
42,133.348,0,0.1,1.3208,1.05879e-22,0,0,62.748,1.9399e+07,1
43,134.842,0,0.1,1.03688,5.29396e-23,0,0,64.242,1.9409e+07,1
44,136.336,0,0.1,0.783961,-1.05879e-22,0,0,65.736,1.9418e+07,1
45,137.83,0,0.1,0.56175,7.26331e-20,0,0,67.23,1.94258e+07,1
46,139.324,0,0.1,0.369823,2.5e-12,0,0,68.724,1.94326e+07,1
47,140.818,0,0.1,0.207591,7.25272e-20,0,0,70.218,1.94384e+07,1
48,142.312,0,0.1,0.0742054,-2.5e-12,0,0,71.712,1.9443e+07,1
49,143.806,0,0.1,-0.0312461,-2e-12,0,0,73.206,1.94468e+07,1
50,145.3,0,0.1,-0.111328,2.5e-12,0,0,74.7,1.94496e+07,1
51,146.794,0,0.1,-0.170082,-2.5e-12,0,0,76.194,1.94518e+07,1
52,148.288,0,0.1,-0.212647,0,0,0,77.688,1.94532e+07,1
53,149.782,0,0.1,-0.244363,-5.29396e-23,0,0,79.182,1.94544e+07,1
54,151.276,0,0.1,-0.270288,5.29396e-23,0,0,80.676,1.94552e+07,1
55,152.77,0,0.1,-0.293806,-1.05879e-22,0,0,82.17,1.9456e+07,1
56,154.264,0,0.1,-0.31635,-1.05879e-22,0,0,83.664,1.94568e+07,1
57,155.758,0,0.1,-0.337133,-2.5e-12,0,0,85.158,1.94576e+07,1
58,157.252,0,0.1,-0.354304,0,0,0,86.652,1.94582e+07,1
59,158.746,0,0.1,-0.365881,1.06514e-19,0,0,88.146,1.94586e+07,1
