vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(vtkOriginalCellIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(vtkOriginalCellIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(vtkOriginalCellIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(vtkOriginalCellIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(vtkOriginalCellIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(vtkOriginalCellIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(vtkOriginalCellIds),vtkValidPointMask
1,0,200,0,0,30.1935,30.1935,0,42.7001,99.5,30.1935,30.1935,0,42.7001,199,30.1935,30.1935,0,42.7001,99,30.1935,30.1935,0,42.7001,0,30.1935,30.1935,0,42.7001,49,30.1935,30.1935,0,42.7001,149,0,0,0,0,57.8792,1
1,1,200,0.01,0,27.1567,27.6494,4.18726e-17,43.0004,99.5,51.1651,51.7891,3.89263e-14,52.3509,199,29.3974,29.7176,0,42.4712,99,1.1931,-0.208779,-3.93752e-14,33.7568,0,15.6624,15.4872,-4.16564e-15,39.3624,49,37.8404,38.1023,4.52303e-15,47.0335,149,13.6236,13.6586,1.21767e-14,4.83329,57.8792,1
1,2,200,0.02,0,27.3533,28.4215,6.95316e-17,43.5124,99.5,48.3909,57.3688,3.97801e-14,58.5828,199,30.5501,29.6784,0,41.5521,99,1.12887,0.845554,-3.86311e-14,33.0874,0,15.9986,16.8357,-4.1692e-15,38.2548,49,39.222,37.8389,4.54705e-15,47.2849,149,13.3653,14.4483,1.21849e-14,6.95336,57.8792,1
1,3,200,0.03,0,27.4752,28.2718,5.95877e-17,43.4502,99.5,52.9785,57.9449,4.0124e-14,59.6059,199,29.0781,28.5964,0,40.9737,99,1.11304,0.841002,-3.90705e-14,31.7415,0,15.4835,16.9985,-4.16293e-15,36.5712,49,38.8693,38.1041,4.58614e-15,50.0279,149,13.9723,14.6267,1.21827e-14,8.5877,57.8792,1
1,4,200,0.04,0,27.6639,28.3083,5.71277e-17,43.6611,99.5,55.2669,58.355,4.01097e-14,60.2182,199,28.6535,28.5785,0,41.1548,99,1.11704,0.587271,-3.91465e-14,31.4621,0,15.5893,16.3738,-4.14231e-15,35.5277,49,38.6629,38.3447,4.58374e-15,51.7248,149,14.3646,14.9119,1.21903e-14,9.34631,57.8792,1
1,5,200,0.05,0,27.6056,28.1989,5.61746e-17,43.5529,99.5,55.7877,58.2866,4.01202e-14,60.1735,199,28.2901,28.4739,0,41.3035,99,1.11378,0.484609,-3.91704e-14,31.2413,0,15.556,16.0809,-4.13818e-15,34.76,49,37.9345,38.2528,4.58531e-15,52.1671,149,14.4367,14.9712,1.22038e-14,9.5523,57.8792,1
1,6,200,0.06,0,27.4916,28.0855,5.59492e-17,43.382,99.5,55.701,58.1112,4.01363e-14,59.9915,199,28.0872,28.3627,0,41.1733,99,1.11142,0.460174,-3.91891e-14,31.0695,0,15.5035,15.9601,-4.14062e-15,34.3707,49,37.7373,38.1465,4.58801e-15,52.1032,149,14.3975,14.9521,1.22131e-14,9.57864,57.8792,1
1,7,200,0.07,0,27.6051,28.1847,5.58297e-17,43.5501,99.5,55.9874,58.3035,4.01188e-14,60.1921,199,28.1897,28.4697,0,41.3661,99,1.11431,0.442379,-3.91746e-14,31.1839,0,15.5625,16.0177,-4.13648e-15,34.473,49,37.915,38.2754,4.585e-15,52.385,149,14.4688,15.007,1.22069e-14,9.62555,57.8792,1
1,8,200,0.08,0,27.6053,28.185,5.58326e-17,43.551,99.5,55.9937,58.3079,4.01191e-14,60.1982,199,28.1884,28.4702,0,41.3701,99,1.11425,0.442372,-3.91756e-14,31.178,0,15.5631,16.016,-4.13639e-15,34.4707,49,37.9179,38.2769,4.58495e-15,52.3918,149,14.4696,15.0101,1.22071e-14,9.62886,57.8792,1
1,9,200,0.09,0,27.5424,28.1287,5.58698e-17,43.4585,99.5,55.8637,58.2068,4.01299e-14,60.0856,199,28.1186,28.4145,0,41.2697,99,1.11217,0.439882,-3.91871e-14,31.1024,0,15.5316,15.975,-4.13869e-15,34.3987,49,37.8235,38.2104,4.58676e-15,52.2699,149,14.434,14.9855,1.22116e-14,9.61095,57.8792,1
1,10,200,0.1,0,27.4667,28.0359,5.58985e-17,43.3265,99.5,55.7198,57.9924,4.01477e-14,59.8858,199,28.0338,28.316,0,41.1657,99,1.10852,0.446909,-3.92036e-14,30.9981,0,15.4816,15.9247,-4.14188e-15,34.2978,49,37.7289,38.0657,4.58991e-15,52.1428,149,14.4014,14.9301,1.22177e-14,9.58428,57.8792,1
1,11,200,0.11,0,27.5617,28.1375,5.5831e-17,43.48,99.5,55.9123,58.1993,4.0127e-14,60.0881,199,28.13,28.4235,0,41.3069,99,1.11232,0.43846,-3.91866e-14,31.1057,0,15.5401,15.9872,-4.13807e-15,34.4125,49,37.8609,38.2171,4.58642e-15,52.3182,149,14.4494,14.9851,1.22107e-14,9.61708,57.8792,1
1,12,200,0.12,0,27.5594,28.1366,5.5848e-17,43.4775,99.5,55.9045,58.2001,4.01275e-14,60.0897,199,28.1292,28.4226,0,41.3062,99,1.11212,0.442424,-3.91877e-14,31.0988,0,15.5392,15.9896,-4.13809e-15,34.4115,49,37.8601,38.2153,4.58645e-15,52.3122,149,14.4474,14.9855,1.22109e-14,9.61679,57.8792,1
